Name;FMISID;LPNN;WMO;Lat;Lon;Elevation;Groups;Started
Kouvola Inkeroinen tehtaanmäen koulu;105409;;;60.71;26.83;35;air quality (urban);2018
Kouvola Kaipiainen;101234;1615;2954;60.9;27.11;323;radar;1994
Kouvola Kankaan Koulu;104078;;;60.87;26.7;75;air quality (urban);2013
Kouvola Kuusankoski Mäkikylä;104042;;;60.89;26.59;60;air quality (urban);2007
Kouvola Kuusankoski Urheilukentäntie;103112;;;60.91;26.63;55;air quality (urban);1991
Kouvola Utti Lentoportintie;101219;1529;2956;60.89;26.93;99;weather;2008
Kouvola Utti airport;101191;1501;2966;60.9;26.95;102;weather;1944
Kouvola Voikoski;101211;1521;;61.25;26.78;90;precipitation;1968
Kristiinankaupunki lighthouse;101268;2014;2752;62.2;21.17;0;weather;1997
Kruunupyy Kokkola-Pietarsaari airport;101662;4201;2903;63.73;23.14;25;weather;1960
Kuhmo Apaja;101771;4811;;64.07;29.22;190;precipitation;1997
Kuhmo Kalliojoki;101773;4901;2799;64.3;30.17;196;weather, precipitation;1997
Kumlinge parish;100928;23;2790;60.26;20.75;23;weather;2000
Kuopio Haminalahti;100882;;;62.85;27.53;108;air quality (urban);2012
Kuopio Karttula;101579;3610;;62.85;27.27;131;precipitation;1982
Kuopio Kasarmipuisto;102102;;;62.89;27.67;112;air quality (urban);1994
Kuopio Maaherrankatu;103093;;;62.89;27.69;87;air quality (urban);2004
Kuopio Maaninka;101572;3603;2788;63.14;27.31;91;weather;1930
Kuopio Niirala;104098;;;62.89;27.65;122;air quality (urban);2015
Kuopio Puijo;101587;3618;;62.91;27.66;230;air quality (FMI);2010
Kuopio Ritoniemi;101580;3611;2732;62.8;27.9;86;weather;1980
Kuopio Rytky;101582;3613;2918;62.86;27.38;268;radar;1995
Kuopio Savilahti;101586;3617;2955;62.89;27.63;87;weather;2005
Kuopio Savilahti KYS;106954;;;62.9;27.65;102;air quality (urban);2019
Kuopio Sorsasalo;103094;;;62.96;27.7;90;air quality (urban);1991
Kuopio Tasavallankatu;103095;;;62.88;27.66;107;air quality (urban);2009
Kuopio Vehmasmäki;101581;3612;2837;62.74;27.54;190;mast;1990
Jalasjärvi Hirvijärv;101285;2117;;62.47;22.91;100;precipitation;1920
Kurikka Pyörni;101478;3017;;62.73;21.96;72;precipitation;1981
Kustavi Isokari;101059;1016;2964;60.72;21.03;5;weather;1974
Kuusamo Juuma;101899;6814;2749;66.32;29.4;298;weather, air quality (FMI);1989
Kuusamo Kiutaköngäs;101887;6802;2811;66.37;29.31;164;weather;1966
Kuusamo Ruka Talvijärvi;806428;6817;2760;66.17;29.14;306;weather;2013
Kuusamo Rukatunturi;101897;6812;2868;66.17;29.15;500;weather;1990
Kuusamo Teeriranta;101898;6813;;65.52;29.52;225;precipitation;1998
Kuusamo Välikangas;107081;;;66;29.22;266;weather;2019
Kuusamo airport;101886;6801;2869;65.99;29.23;265;weather;1909
Kökar Bogskär;100921;16;2979;59.5;20.35;4;weather;1982
Lahti Holma;104092;;;61.01;25.68;95;air quality (urban);2010
Lahti Kisapuisto;103130;;;60.99;25.65;89;air quality (urban);1981
Lahti Laune Pohjoinen Liipolankatu;103131;;;60.97;25.65;85;air quality (urban);2000
Lahti Saimaankatu;103132;;;60.99;25.67;85;air quality (urban);2013
Lahti Satulakatu;103133;;;60.98;25.59;155;air quality (urban);2011
Lahti Sopenkorpi;104796;1441;;60.97;25.62;100;weather;2016
Lahti Vesku 11;103134;;;60.98;25.66;99;air quality (urban);1990
Lapinlahti Lamminkäyrä;101577;3608;;63.38;27.37;87;precipitation;1968
Lappeenranta Hiekkapakka;101252;1716;2919;61.2;28.47;77;weather;2009
Lappeenranta Ihalainen;103114;;;61.04;28.18;84;air quality (urban);1991
Lappeenranta Joutsenon keskusta;103115;;;61.12;28.5;103;air quality (urban);1997
Lappeenranta Konnunsuo;101246;1710;2733;61.04;28.56;46;weather;1991
Lappeenranta Lauritsala;103117;;;61.07;28.26;105;air quality (urban);1994
Lappeenranta Lepola;101247;1711;2959;61.06;28.21;103;weather;1995
Lappeenranta Pulp;103120;;;61.13;28.45;105;air quality (urban);1996
Lappeenranta Tirilä Pekkasenkatu;103123;;;61.06;28.25;91;air quality (urban);1989
Lappeenranta keskusta 4;103116;;;61.06;28.18;106;air quality (urban);2008
Lappeenranta airport;101237;1701;2958;61.04;28.13;104;weather;1950
Lemland Nyhamn;100909;3;2980;59.96;19.95;9;weather;1958
Lieksa Hietajärvi;101650;3918;;63.17;30.71;173;air quality (FMI);1987
Lieksa Koli;101616;3809;;63.11;29.76;165;precipitation;1969
Lieksa Lampela;101636;3904;2796;63.32;30.05;98;weather;1946
Liperi Joensuu airport;101608;3801;2929;62.66;29.64;112;weather;1955
Liperi Tuiskavanluoto;101628;3821;2793;62.55;29.67;78;weather;1997
Lohja Harjula;107147;;;60.25;24.07;70;air quality (urban);2020
Lohja Leppäkorpi;100963;213;;60.49;23.77;96;precipitation;1968
Lohja Porla;100974;307;2706;60.24;24.05;36;weather;1949
Loviisa Orrengrund;101039;510;2992;60.27;26.45;1;weather;1974
Luhanka Judinsalo;101362;2426;2765;61.7;25.51;80;weather;1990
Lumparland Långnäs harbour;151048;12;2724;60.12;20.3;10;weather;2012
Luoto Vikarholmen;103153;;;63.7;22.76;2;air quality (urban);2001
Maalahti Storskäret;107033;;;63.11;20.82;;buoy;2019
Maalahti Strömmingsbådan;101481;3020;2781;62.98;20.74;2;weather;1997
Mariehamn West Harbour;151029;26;2997;60.09;19.93;2;weather;2012
Merikarvia Tuorila;101257;2003;;61.85;21.65;39;precipitation;1958
Mikkeli airport AWOS;855522;;;61.69;27.21;101;weather;1959
Mikkeli Pitkähiekka;101410;2614;;62.01;27.19;109;precipitation;1956
Mikkeli Porrassalmenkatu;103149;;;61.69;27.27;89;air quality (urban);2003
Mikkeli airport;101398;2602;2947;61.69;27.2;99;weather;1951
Multia Karhila;101536;3317;2927;62.51;24.81;227;weather;2008
Multia Pirttiperä;101363;2427;;62.41;25.05;180;precipitation;1991
Muonio Laukukero;101982;8307;2820;68.06;24.03;760;weather;1996
Muonio Sammaltunturi;101983;8308;2821;67.97;24.12;555;weather, air quality (FMI);1991
Muonio parish;106435;8211;2823;67.96;23.68;236;weather;2013
Mustasaari Riimala;101474;3013;;62.97;21.78;15;precipitation;1967
Mustasaari Valassaaret;101464;3003;2910;63.44;21.07;4;weather;1895
Mäntsälä Hirvihaara;103794;1440;2774;60.63;25.19;83;weather;2015
Naantali keskusta Asematori;100824;;;60.47;22.03;14;air quality (urban);1999
Nastola Kukkasen koulu;104097;;;60.95;25.91;131;air quality (urban);2015
Nastola Rakokiventie siirrettävä;104091;;;60.94;25.96;142;air quality (urban);2016
Nokia Tottijärvi;101116;1213;;61.4;23.34;99;precipitation;1959
Nurmes Mujejärvi;101763;4803;;63.82;29.45;252;precipitation;1966
Nurmes Mujejärvi Riihivaara;107131;;;63.84;29.45;;radar;2019
Nurmes Valtimo;101743;4701;2798;63.67;28.83;114;weather;1969
Nurmijärvi Röykkä;101149;1321;2983;60.51;24.65;110;weather;1952
Närpiö Alamarkku;101468;3007;;62.63;21.49;35;precipitation;1961
Oripää Teinikivi;101081;1117;;60.9;22.71;82;precipitation;1968
Oulu Nokela;103124;;;64.99;25.48;8;air quality (urban);1979
Oulu Oulunsalo Pellonpää;101799;5414;2851;64.94;25.37;11;weather;2007
Oulu Pyykösjärvi;103126;;;65.04;25.5;8;air quality (urban);1991
Oulu Santapankki;103807;;;65.23;24.97;0;buoy;2015
Oulu Toppila;134248;;;65.04;25.42;0;mareograph;1922
Oulu Vihreäsaari harbour;101794;5409;2876;65.01;25.39;3;weather;1996
Oulu keskusta 2;103125;;;65.01;25.47;5;air quality (urban);1997
Oulu airport;101786;5401;2875;64.94;25.34;13;weather;1953
Outokumpu Viuruniemi;101590;3703;;62.62;28.94;113;precipitation;1961
Parainen;104064;;;60.3;22.3;3;air quality (urban);2010
Parainen Fagerholm;100924;19;2950;60.11;21.7;3;weather;1989
Parainen Parainen;100843;;;60.3;22.28;20;air quality (urban);2013
Parainen Rumar;100926;21;2933;60.13;21.64;61;radar;1997
Parainen Utö;100908;2;2981;59.78;21.37;6;weather, precipitation, air quality (FMI);1881
Parikkala Koitsanlahti;101254;1802;2734;61.44;29.46;74;weather;1991
Pelkosenniemi Pyhätunturi;101958;7708;2705;67.02;27.22;491;weather;1995
Pelkosenniemi parish;101947;7604;;67.1;27.51;155;precipitation;1968
Pello parish;101914;7307;2844;66.77;23.96;85;weather;1970
Bay of Bothnia wavebuoy;137228;;;64.68;23.24;0;buoy;2012
Petäjävesi Kintaus;103813;;2775;62.3;25.44;271;radar;2015
Pieksämäki Savontie;104108;;;62.3;27.16;111;air quality (urban);2007
Pielavesi Venetmäki;101569;3516;;63.32;26.98;189;precipitation;1986
Pietarsaari Bottenviksvägen;103152;;;63.68;22.72;8;air quality (urban);1994
Pietarsaari Kallan;101660;4108;2920;63.75;22.52;2;weather;1995
Pietarsaari Leppäluoto;134250;;;63.71;22.69;0;mareograph;1922
Pirkkala Tampere-Pirkkala airport;101118;1215;2944;61.42;23.62;112;weather;1979
Northern Baltic Proper wavebuoy;134220;;;59.25;21;0;buoy;1996
Pori Kaijakari;104600;;;61.62;21.39;0;buoy;2016
Pori Mäntyluoto Kallo;134266;;;61.59;21.46;;mareograph;1925
Pori Paanakedonkatu;106420;;;61.48;21.81;2;air quality (urban);2016
Pori Pastuskeri;103135;;;61.66;21.45;3;air quality (urban);2012
Pori Tahkoluoto harbour;101267;2013;2751;61.63;21.38;3;weather;1996
Pori airport;101044;1001;2952;61.46;21.81;11;weather;1945
Pori railway station;101064;1021;2926;61.48;21.78;9;weather;2008
Porvoo Emäsalo;101023;417;2991;60.2;25.63;19;weather;1974
Porvoo Emäsalo Vaarlahti;100669;;;60.21;25.63;0;mareograph;2014
Porvoo Harabacka;101028;422;2759;60.39;25.61;22;weather;2006
Porvoo Kalbådagrund;101022;416;2987;59.99;25.6;0;weather;1977
Porvoo Kilpilahti harbour;100683;424;2994;60.3;25.55;2;weather;2014
Porvoo Mannerheiminkatu;104029;;;60.39;25.66;10;air quality (urban);2004
Porvoo Mustijoki;103139;;;60.36;25.57;10;air quality (urban);1991
Porvoo Nyby;103140;;;60.32;25.5;28;air quality (urban);2011
Porvoo Svartbäck;103141;;;60.29;25.51;15;air quality (urban);2013
Posio Raistakka;101881;6703;;65.98;28.17;260;precipitation;1968
Pudasjärvi Jaurakkajärvi;101812;5607;;65.16;27.65;135;precipitation;1968
Pudasjärvi Sarakylä;101877;6604;;65.8;27.34;158;precipitation;1968
Pudasjärvi airfield;101805;5507;2866;65.4;26.96;120;weather;1999
Puolanka Kotila;101830;5715;;64.67;28.03;280;precipitation;1992
Puolanka Paljakka;101831;5716;2859;64.66;28.06;341;weather;2009
Puumala parish;150168;2708;2718;61.52;28.18;98;weather;2012
Pyhtää airfield;107029;513;;60.49;26.59;21;weather;2019
Pyhäjärvi Hiidenniemi;101706;4413;;63.61;25.47;140;precipitation;1992
Pyhäjärvi Ojakylä;101705;4412;2738;63.74;25.71;152;weather;1990
Pöytyä Yläne;101093;1130;;60.87;22.39;57;precipitation;1975
Raahe Lapaluoto;100540;;;64.67;24.41;;mareograph;1922
Raahe Lapaluoto;103145;;;64.67;24.42;11;air quality (urban);1982
Raahe Lapaluoto harbour;101785;5311;2872;64.67;24.41;2;weather;1990
Raahe Nahkiainen;101775;5201;2800;64.61;23.9;0;weather;1997
Raahe keskusta;103147;;;64.68;24.48;3;air quality (urban);2005
Raasepori Jussarö;100965;215;2757;59.82;23.57;17;weather;1990
Raisio Ihala;106630;;;60.47;22.19;10;air quality (urban);2017
Raisio Kaanaa Sakunpiha;106419;;;60.47;22.1;20;air quality (urban);2016
Rantasalmi Rukkasluoto;101436;2716;2772;62.06;28.57;79;weather;1997
Ranua airfield;101873;6514;2881;65.98;26.37;161;weather;2008
Rauma Kylmäpihlaja;101061;1018;2761;61.14;21.3;4;weather;1990
Rauma Pyynpää;105427;1023;;61.14;21.52;15;weather;2018
Rauma Sinisaari;778578;;;61.12;21.49;2;air quality (urban);1986
Rauma Tarvonsaari Hallikatu;103113;;;61.13;21.5;3;air quality (urban);2002
Rauma Ulko-Petäjäs;134224;;;61.13;21.43;0;mareograph;1933
Rauma aaltopoiju;107169;;;61.2;21.08;0;buoy;2020
Raumanväylä aaaltopoiju;107215;;;61.13;21.24;0;buoy;2020
Rautavaara Ala-Luosta;101599;3712;;63.27;28.47;111;precipitation;1968
Rautavaara Ylä-Luosta;101603;3716;2789;63.38;28.66;166;weather, precipitation;1976
Ristijärvi Mustavaara;101753;4711;;64.47;28.62;268;precipitation;1978
Rovaniemi Apukka;101933;7502;2813;66.58;26.01;106;weather;1939
